audio_id,start_time,end_time,speaker
qjbESyxHUB,531.82,538.59,B
qjbESyxHUB,538.68,542.09,E
qjbESyxHUB,542.04,554.08,B
qjbESyxHUB,548.38,548.73,E
qjbESyxHUB,551.8,565.66,E
qjbESyxHUB,566.07,569.03,B
qjbESyxHUB,567.86,569.25,D
qjbESyxHUB,568.09,574.0,E
qjbESyxHUB,576.05,577.23,E
qjbESyxHUB,578.29,578.58,A
qjbESyxHUB,578.92,594.58,D
qjbESyxHUB,596.47,599.03,E
qjbESyxHUB,598.84,627.46,D
qjbESyxHUB,605.12,606.87,E
qjbESyxHUB,613.86,614.12,E
qjbESyxHUB,617.88,618.16,E
qjbESyxHUB,620.77,621.13,E
qjbESyxHUB,622.64,623.35,E
qjbESyxHUB,626.69,640.19,E
qjbESyxHUB,639.26,639.65,D
qjbESyxHUB,639.64,657.07,B
qjbESyxHUB,651.85,660.47,E
qjbESyxHUB,654.45,654.76,D
qjbESyxHUB,655.47,655.68,A
qjbESyxHUB,662.32,686.48,E
qjbESyxHUB,685.69,692.54,D
qjbESyxHUB,688.31,689.89,E
qjbESyxHUB,692.06,696.7,E
qjbESyxHUB,692.34,693.38,B
qjbESyxHUB,695.7,703.25,D
qjbESyxHUB,703.9,718.2,E
qjbESyxHUB,705.89,708.38,D
qjbESyxHUB,707.16,707.48,C
qjbESyxHUB,710.24,710.5,D
qjbESyxHUB,713.95,716.4,D
qjbESyxHUB,715.64,733.42,B
qjbESyxHUB,720.33,720.54,E
qjbESyxHUB,734.08,736.26,D
qjbESyxHUB,736.67,737.08,E
qjbESyxHUB,737.24,737.63,B
qjbESyxHUB,738.45,740.84,D
qjbESyxHUB,739.0,745.27,B
qjbESyxHUB,745.02,746.3,D
qjbESyxHUB,746.75,764.53,E
qjbESyxHUB,762.51,762.79,B
qjbESyxHUB,766.49,766.94,E
qjbESyxHUB,766.8,770.06,B
qjbESyxHUB,768.58,768.76,E
qjbESyxHUB,769.96,774.36,E
qjbESyxHUB,774.27,775.88,B
qjbESyxHUB,777.06,792.71,E
qjbESyxHUB,777.43,777.74,D
qjbESyxHUB,792.21,800.46,D
qjbESyxHUB,795.68,795.86,E
qjbESyxHUB,797.24,797.75,E
qjbESyxHUB,799.23,811.13,E
qjbESyxHUB,811.59,816.31,C
qjbESyxHUB,813.13,814.67,E
qjbESyxHUB,816.86,822.48,E
qjbESyxHUB,822.9,824.36,C
qjbESyxHUB,825.1,829.94,E
qjbESyxHUB,832.2,856.0,E
qjbESyxHUB,833.96,834.38,C
qjbESyxHUB,842.15,842.69,B
qjbESyxHUB,844.33,844.85,B
qjbESyxHUB,846.5,846.84,D
qjbESyxHUB,855.29,870.67,B
qjbESyxHUB,855.53,856.12,C
qjbESyxHUB,865.19,865.78,E
qjbESyxHUB,869.37,873.19,E
qjbESyxHUB,870.34,870.88,D
qjbESyxHUB,872.5,880.42,D
qjbESyxHUB,879.58,891.17,E
qjbESyxHUB,884.15,884.44,D
qjbESyxHUB,889.74,892.28,D
qjbESyxHUB,891.04,898.75,C
qjbESyxHUB,901.06,901.51,E
qjbESyxHUB,901.3,916.88,C
qjbESyxHUB,901.92,903.35,D
qjbESyxHUB,906.58,906.88,E
qjbESyxHUB,917.14,930.49,D
qjbESyxHUB,925.47,925.95,C
qjbESyxHUB,931.05,931.28,C
qjbESyxHUB,931.27,944.46,E
qjbESyxHUB,933.33,934.4,D
qjbESyxHUB,939.47,939.84,D
qjbESyxHUB,948.79,958.03,E
qjbESyxHUB,958.21,963.48,D
qjbESyxHUB,960.33,960.81,E
qjbESyxHUB,964.47,967.3,E
qjbESyxHUB,966.3,970.45,D
qjbESyxHUB,970.6,972.37,A
qjbESyxHUB,971.29,976.81,E
qjbESyxHUB,971.79,974.14,D
qjbESyxHUB,976.39,983.99,D
qjbESyxHUB,982.61,989.85,E
qjbESyxHUB,987.31,997.4,D
qjbESyxHUB,995.86,1016.5,E
qjbESyxHUB,1016.6,1032.62,D
qjbESyxHUB,1032.14,1071.7,E
qjbESyxHUB,1041.16,1042.28,D
qjbESyxHUB,1072.83,1074.15,D
qjbESyxHUB,1073.32,1074.05,B
qjbESyxHUB,1073.53,1075.76,E
qjbESyxHUB,1076.21,1079.11,D
qjbESyxHUB,1080.2,1080.63,E
qjbESyxHUB,1083.65,1093.19,E
qjbESyxHUB,1092.42,1095.29,D
qjbESyxHUB,1100.14,1107.64,E
qjbESyxHUB,1105.95,1106.27,A
qjbESyxHUB,1115.99,1118.35,E
qjbESyxHUB,1120.12,1134.83,E
qjbESyxHUB,1131.12,1131.48,B
qjbESyxHUB,1131.46,1131.77,A
qjbESyxHUB,1134.46,1142.22,A
qjbESyxHUB,1142.0,1160.1,E
qjbESyxHUB,1160.76,1164.37,A
qjbESyxHUB,1163.4,1167.33,E
qjbESyxHUB,1167.5,1170.23,A
qjbESyxHUB,1169.51,1177.11,E
qjbESyxHUB,1175.4,1176.2,B
qjbESyxHUB,1179.19,1179.47,A
qjbESyxHUB,1180.82,1201.72,B
qjbESyxHUB,1192.47,1192.9,E
qjbESyxHUB,1204.44,1219.92,E
qjbESyxHUB,1221.6,1225.74,E
qjbESyxHUB,1227.64,1251.53,E
qjbESyxHUB,1253.3,1255.31,E
qjbESyxHUB,1255.01,1273.09,B
qjbESyxHUB,1262.64,1263.34,E
qjbESyxHUB,1272.18,1278.04,E
qjbESyxHUB,1278.34,1282.49,D
qjbESyxHUB,1281.72,1322.22,E
qjbESyxHUB,1302.56,1302.84,B
qjbESyxHUB,1322.74,1322.88,A
qjbESyxHUB,1324.8,1336.18,E
qjbESyxHUB,1336.18,1363.09,D
qjbESyxHUB,1364.53,1384.1,E
qjbESyxHUB,1383.44,1390.72,D
qjbESyxHUB,1389.35,1402.09,E
qjbESyxHUB,1405.44,1409.93,E
qjbESyxHUB,1411.69,1413.14,E
qjbESyxHUB,1415.41,1426.85,E
qjbESyxHUB,1422.98,1430.72,D
qjbESyxHUB,1430.79,1436.43,E
qjbESyxHUB,1432.89,1433.22,D
qjbESyxHUB,1438.34,1438.66,E
qjbESyxHUB,1440.18,1441.0,E
qjbESyxHUB,1442.39,1449.0,E
qjbESyxHUB,1448.4,1453.25,D
qjbESyxHUB,1454.23,1462.0,E
qjbESyxHUB,1454.83,1455.0,D
qjbESyxHUB,1457.08,1457.75,D
qjbESyxHUB,1463.61,1491.39,E
qjbESyxHUB,1466.26,1467.11,D
qjbESyxHUB,1490.28,1490.49,A
qjbESyxHUB,1491.68,1495.21,A
qjbESyxHUB,1495.94,1502.63,E
qjbESyxHUB,1497.04,1498.64,A
qjbESyxHUB,1503.52,1504.9,A
qjbESyxHUB,1505.19,1537.75,E
qjbESyxHUB,1510.24,1510.64,A
qjbESyxHUB,1540.1,1556.54,E
qjbESyxHUB,1549.12,1549.4,A
qjbESyxHUB,1557.56,1561.86,D
qjbESyxHUB,1563.92,1565.85,D
qjbESyxHUB,1567.3,1576.5,D
qjbESyxHUB,1577.42,1580.12,E
qjbESyxHUB,1579.86,1581.69,D
qjbESyxHUB,1582.69,1585.02,E
qjbESyxHUB,1588.31,1619.49,E
qjbESyxHUB,1603.4,1603.72,D
qjbESyxHUB,1604.0,1605.26,C
qjbESyxHUB,1604.27,1604.72,B
qjbESyxHUB,1620.71,1630.92,C
qjbESyxHUB,1627.52,1629.3,B
qjbESyxHUB,1632.56,1634.9,B
qjbESyxHUB,1633.84,1636.15,C
qjbESyxHUB,1638.76,1640.32,C
qjbESyxHUB,1638.86,1642.96,A
qjbESyxHUB,1643.27,1643.62,C
qjbESyxHUB,1644.2,1644.62,A
qjbESyxHUB,1646.81,1665.24,E
qjbESyxHUB,1663.46,1668.93,A
qjbESyxHUB,1670.49,1673.5,E
qjbESyxHUB,1674.56,1675.06,B
qjbESyxHUB,1674.71,1680.0,C
qjbESyxHUB,1675.87,1682.85,E
qjbESyxHUB,1683.32,1692.41,C
qjbESyxHUB,1687.04,1687.4,E
qjbESyxHUB,1693.8,1704.42,B
qjbESyxHUB,1693.83,1694.14,E
qjbESyxHUB,1698.21,1701.81,C
qjbESyxHUB,1700.85,1701.11,E
qjbESyxHUB,1702.98,1703.24,E
qjbESyxHUB,1703.34,1705.23,C
qjbESyxHUB,1704.79,1705.05,A
qjbESyxHUB,1706.72,1708.25,E
qjbESyxHUB,1707.49,1707.63,B
qjbESyxHUB,1711.24,1712.13,B
qjbESyxHUB,1711.4,1717.57,E
qjbESyxHUB,1711.59,1712.18,A
qjbESyxHUB,1719.41,1744.4,E
qjbESyxHUB,1742.75,1747.77,D
qjbESyxHUB,1745.65,1747.59,A
qjbESyxHUB,1747.36,1755.28,E
qjbESyxHUB,1748.2,1749.23,B
qjbESyxHUB,1750.55,1751.31,D
qjbESyxHUB,1751.33,1751.68,B
qjbESyxHUB,1752.23,1752.42,A
qjbESyxHUB,1761.71,1768.8,E
qjbESyxHUB,1768.7,1781.28,B
qjbESyxHUB,1768.92,1769.88,D
qjbESyxHUB,1774.37,1775.78,E
qjbESyxHUB,1782.71,1788.91,E
qjbESyxHUB,1783.64,1783.86,A
qjbESyxHUB,1783.8,1786.95,B
qjbESyxHUB,1786.1,1786.21,A
qjbESyxHUB,1787.21,1787.43,A
qjbESyxHUB,1789.52,1795.22,D
qjbESyxHUB,1789.87,1791.29,B
qjbESyxHUB,1791.01,1791.6,A
qjbESyxHUB,1792.94,1816.32,B
qjbESyxHUB,1798.25,1799.96,E
qjbESyxHUB,1812.52,1819.51,E
qjbESyxHUB,1814.18,1814.35,A
qjbESyxHUB,1820.55,1826.67,B
qjbESyxHUB,1823.68,1824.02,E
qjbESyxHUB,1827.0,1840.06,E
qjbESyxHUB,1836.07,1837.15,B
qjbESyxHUB,1836.32,1836.99,D
qjbESyxHUB,1840.72,1841.12,A
qjbESyxHUB,1841.88,1846.92,E
qjbESyxHUB,1848.69,1849.79,E
qjbESyxHUB,1850.38,1851.11,A
qjbESyxHUB,1851.19,1870.36,E
qjbESyxHUB,1858.96,1859.86,A
qjbESyxHUB,1870.8,1871.03,A
qjbESyxHUB,1870.94,1883.84,B
qjbESyxHUB,1884.57,1892.0,E
qjbESyxHUB,1886.55,1888.44,B
qjbESyxHUB,1888.04,1888.25,A
qjbESyxHUB,1891.16,1892.99,B
qjbESyxHUB,1892.36,1892.62,A
qjbESyxHUB,1893.88,1894.18,E
qjbESyxHUB,1896.02,1914.54,E
qjbESyxHUB,1916.15,1931.28,E
qjbESyxHUB,1923.49,1923.75,D
qjbESyxHUB,1931.62,1940.41,D
qjbESyxHUB,1941.75,1943.54,D
qjbESyxHUB,1943.91,1949.48,E
qjbESyxHUB,1944.98,1945.27,D
qjbESyxHUB,1949.19,1952.21,D
qjbESyxHUB,1952.12,1964.7,E
qjbESyxHUB,1966.21,1980.58,E
qjbESyxHUB,1980.46,1990.01,D
qjbESyxHUB,1986.79,1987.07,E
qjbESyxHUB,1990.29,2028.02,E
qjbESyxHUB,2026.47,2026.78,A
qjbESyxHUB,2030.04,2050.07,E
qjbESyxHUB,2051.06,2058.95,D
qjbESyxHUB,2054.17,2054.36,E
qjbESyxHUB,2057.19,2083.23,E
qjbESyxHUB,2059.91,2060.09,A
qjbESyxHUB,2082.98,2101.45,D
qjbESyxHUB,2101.65,2103.58,A
qjbESyxHUB,2102.88,2103.21,D
qjbESyxHUB,2104.99,2108.49,D
qjbESyxHUB,2108.64,2110.43,E
qjbESyxHUB,2111.44,2113.55,D
qjbESyxHUB,2113.19,2144.54,E
qjbESyxHUB,2125.95,2127.08,D
qjbESyxHUB,2130.42,2130.7,D
qjbESyxHUB,2144.53,2145.68,D
qjbESyxHUB,2147.7,2153.46,D
qjbESyxHUB,2153.7,2154.0,E
qjbESyxHUB,2155.09,2158.63,D
qjbESyxHUB,2158.05,2171.93,E
qjbESyxHUB,2169.54,2169.88,D
qjbESyxHUB,2169.56,2169.88,A
qjbESyxHUB,2171.38,2177.56,D
qjbESyxHUB,2176.55,2177.14,E
qjbESyxHUB,2179.43,2207.85,E
qjbESyxHUB,2188.06,2188.16,A
qjbESyxHUB,2207.6,2211.63,D
qjbESyxHUB,2211.64,2236.07,E
qjbESyxHUB,2213.0,2213.44,D
qjbESyxHUB,2234.77,2243.0,C
qjbESyxHUB,2240.48,2251.15,D
qjbESyxHUB,2244.66,2245.26,C
qjbESyxHUB,2248.36,2248.75,C
qjbESyxHUB,2251.36,2251.69,C
qjbESyxHUB,2252.6,2253.92,A
qjbESyxHUB,2254.42,2257.61,D
qjbESyxHUB,2255.73,2255.97,A
qjbESyxHUB,2259.83,2261.81,E
qjbESyxHUB,2262.5,2266.4,D
qjbESyxHUB,2263.84,2264.32,E
qjbESyxHUB,2266.49,2266.98,E
qjbESyxHUB,2267.85,2274.35,D
qjbESyxHUB,2274.46,2277.44,E
qjbESyxHUB,2277.57,2277.86,D
qjbESyxHUB,2278.06,2278.18,A
qjbESyxHUB,2282.34,2305.37,E
qjbESyxHUB,2305.09,2309.7,D
qjbESyxHUB,2311.17,2311.49,A
qjbESyxHUB,2312.58,2326.37,E
qjbESyxHUB,2315.51,2315.88,D
qjbESyxHUB,2324.66,2329.36,D
qjbESyxHUB,2328.29,2344.25,A
qjbESyxHUB,2332.38,2332.68,E
qjbESyxHUB,2344.58,2344.94,E
qjbESyxHUB,2345.35,2347.74,A
qjbESyxHUB,2349.22,2350.76,A
qjbESyxHUB,2355.25,2358.04,E
qjbESyxHUB,2358.32,2369.21,A
qjbESyxHUB,2362.16,2362.51,E
qjbESyxHUB,2365.54,2365.91,E
qjbESyxHUB,2371.81,2380.47,E
qjbESyxHUB,2380.72,2383.35,A
qjbESyxHUB,2382.02,2382.21,E
qjbESyxHUB,2383.56,2389.89,E
qjbESyxHUB,2387.76,2388.23,A
qjbESyxHUB,2391.48,2393.71,A
qjbESyxHUB,2394.14,2402.15,E
qjbESyxHUB,2400.98,2401.36,A
qjbESyxHUB,2403.25,2403.8,A
qjbESyxHUB,2407.35,2420.22,E
qjbESyxHUB,2420.21,2421.11,A
qjbESyxHUB,2425.37,2426.25,E
qjbESyxHUB,2428.69,2430.09,D
qjbESyxHUB,2430.03,2430.46,C
qjbESyxHUB,2430.61,2431.99,E
qjbESyxHUB,2431.62,2433.32,A
qjbESyxHUB,2431.71,2432.18,D
qjbESyxHUB,2433.76,2434.23,E
qjbESyxHUB,2436.38,2447.22,E
qjbESyxHUB,2447.6,2447.94,A
qjbESyxHUB,2449.19,2453.71,A
qjbESyxHUB,2454.29,2457.27,D
qjbESyxHUB,2455.05,2456.04,A
qjbESyxHUB,2457.51,2460.38,E
qjbESyxHUB,2457.6,2458.45,A
qjbESyxHUB,2460.68,2465.84,A
qjbESyxHUB,2468.75,2504.07,E
qjbESyxHUB,2505.0,2509.62,D
qjbESyxHUB,2510.87,2513.85,D
qjbESyxHUB,2514.75,2520.56,E
qjbESyxHUB,2516.04,2516.51,D
qjbESyxHUB,2522.48,2524.8,E
qjbESyxHUB,2526.08,2526.63,E
qjbESyxHUB,2531.06,2536.37,E
qjbESyxHUB,2537.81,2539.04,D
qjbESyxHUB,2541.35,2547.51,E
qjbESyxHUB,2546.05,2548.35,D
qjbESyxHUB,2550.37,2552.33,E
qjbESyxHUB,2552.86,2555.51,D
qjbESyxHUB,2558.07,2558.44,E
qjbESyxHUB,2559.87,2561.71,E
qjbESyxHUB,2561.21,2564.89,D
qjbESyxHUB,2562.89,2563.01,E
qjbESyxHUB,2565.06,2567.04,E
qjbESyxHUB,2566.55,2568.03,D
qjbESyxHUB,2570.84,2572.28,D
qjbESyxHUB,2573.27,2576.64,E
qjbESyxHUB,2576.72,2580.02,D
qjbESyxHUB,2578.34,2579.02,E
qjbESyxHUB,2580.28,2581.82,E
qjbESyxHUB,2582.34,2591.45,D
qjbESyxHUB,2590.5,2593.39,E
qjbESyxHUB,2592.87,2593.29,D
qjbESyxHUB,2608.92,2627.3,E
qjbESyxHUB,2617.16,2617.42,A
qjbESyxHUB,2627.6,2628.2,A
qjbESyxHUB,2627.85,2641.45,C
qjbESyxHUB,2639.29,2649.85,E
qjbESyxHUB,2641.32,2641.61,A
qjbESyxHUB,2644.41,2646.33,C
qjbESyxHUB,2649.27,2654.92,A
qjbESyxHUB,2650.27,2650.71,D
qjbESyxHUB,2654.98,2665.03,C
qjbESyxHUB,2663.49,2666.69,A
qjbESyxHUB,2667.14,2669.35,C
qjbESyxHUB,2668.79,2686.47,A
qjbESyxHUB,2671.37,2672.67,C
qjbESyxHUB,2673.76,2674.33,C
qjbESyxHUB,2678.73,2678.98,C
qjbESyxHUB,2686.71,2693.91,C
qjbESyxHUB,2689.73,2690.02,A
qjbESyxHUB,2691.31,2691.81,A
qjbESyxHUB,2693.03,2699.66,A
qjbESyxHUB,2699.91,2708.37,C
qjbESyxHUB,2708.61,2709.28,A
qjbESyxHUB,2709.98,2715.54,C
qjbESyxHUB,2710.77,2712.13,B
qjbESyxHUB,2714.34,2717.66,B
qjbESyxHUB,2718.67,2727.29,C
qjbESyxHUB,2728.79,2730.41,A
qjbESyxHUB,2728.92,2729.58,C
qjbESyxHUB,2730.79,2736.29,C
qjbESyxHUB,2737.75,2737.99,C
qjbESyxHUB,2739.89,2745.2,C
qjbESyxHUB,2745.12,2747.07,E
qjbESyxHUB,2747.28,2753.13,C
qjbESyxHUB,2753.84,2760.99,E
qjbESyxHUB,2756.88,2757.4,C
qjbESyxHUB,2759.5,2763.53,B
qjbESyxHUB,2762.53,2763.06,E
qjbESyxHUB,2763.03,2767.56,C
qjbESyxHUB,2765.68,2766.03,A
qjbESyxHUB,2766.96,2767.92,B
qjbESyxHUB,2768.47,2789.77,E
qjbESyxHUB,2769.24,2770.47,B
qjbESyxHUB,2769.33,2769.7,C
qjbESyxHUB,2775.29,2775.56,C
qjbESyxHUB,2776.36,2776.58,A
qjbESyxHUB,2776.56,2785.86,B
qjbESyxHUB,2789.35,2797.56,B
qjbESyxHUB,2794.31,2810.98,E
qjbESyxHUB,2803.23,2806.36,B
qjbESyxHUB,2808.36,2810.81,C
qjbESyxHUB,2810.97,2812.96,B
qjbESyxHUB,2813.24,2813.65,E
qjbESyxHUB,2813.41,2818.82,C
qjbESyxHUB,2814.19,2814.31,B
qjbESyxHUB,2816.7,2819.73,E
qjbESyxHUB,2821.05,2823.73,B
qjbESyxHUB,2823.29,2843.2,E
qjbESyxHUB,2834.43,2837.08,B
qjbESyxHUB,2838.26,2838.42,A
qjbESyxHUB,2844.45,2858.58,C
qjbESyxHUB,2859.11,2861.95,A
qjbESyxHUB,2859.92,2860.18,B
qjbESyxHUB,2862.65,2863.03,C
qjbESyxHUB,2862.89,2890.18,E
qjbESyxHUB,2885.1,2887.24,D
qjbESyxHUB,2890.34,2903.68,D
qjbESyxHUB,2896.83,2897.12,E
qjbESyxHUB,2900.21,2900.39,E
qjbESyxHUB,2904.2,2906.42,E
qjbESyxHUB,2905.84,2909.03,D
qjbESyxHUB,2909.69,2918.67,E
qjbESyxHUB,2918.23,2923.85,C
qjbESyxHUB,2924.45,2936.88,E
qjbESyxHUB,2935.89,2943.73,C
qjbESyxHUB,2944.03,2947.36,D
qjbESyxHUB,2947.73,2957.6,C
qjbESyxHUB,2957.6,2961.13,D
qjbESyxHUB,2961.25,2962.49,C
qjbESyxHUB,2963.53,2966.03,D
qjbESyxHUB,2965.8,2969.37,C
qjbESyxHUB,2969.55,2975.45,D
qjbESyxHUB,2978.15,2987.18,C
qjbESyxHUB,2984.86,2985.58,D
qjbESyxHUB,2988.28,2990.12,D
qjbESyxHUB,2991.38,2996.56,C
qjbESyxHUB,2994.44,2994.75,D
qjbESyxHUB,2997.16,2998.78,E
qjbESyxHUB,2998.61,3000.69,C
qjbESyxHUB,3001.38,3025.34,E
qjbESyxHUB,3005.49,3006.25,C
qjbESyxHUB,3010.52,3011.1,C
qjbESyxHUB,3019.58,3020.02,C
qjbESyxHUB,3026.14,3030.46,C
qjbESyxHUB,3030.57,3044.68,E
qjbESyxHUB,3037.74,3038.08,C
qjbESyxHUB,3045.6,3061.37,D
qjbESyxHUB,3064.57,3075.13,D
qjbESyxHUB,3074.31,3082.48,E
qjbESyxHUB,3086.73,3092.09,E
qjbESyxHUB,3091.09,3093.72,D
qjbESyxHUB,3094.21,3096.29,E
qjbESyxHUB,3097.1,3100.95,D
qjbESyxHUB,3099.72,3116.26,E
qjbESyxHUB,3105.95,3106.31,D
qjbESyxHUB,3115.47,3123.79,D
qjbESyxHUB,3125.51,3127.28,D
qjbESyxHUB,3128.11,3150.37,E
qjbESyxHUB,3130.15,3133.99,D
qjbESyxHUB,3149.36,3152.2,D
qjbESyxHUB,3151.88,3169.77,E
qjbESyxHUB,3154.3,3154.62,D
qjbESyxHUB,3154.34,3154.59,B
qjbESyxHUB,3170.27,3172.38,D
qjbESyxHUB,3174.13,3177.52,E
qjbESyxHUB,3174.52,3176.7,D
qjbESyxHUB,3178.12,3183.69,D
qjbESyxHUB,3185.9,3191.67,E
qjbESyxHUB,3192.9,3198.15,D
qjbESyxHUB,3193.64,3194.22,E
qjbESyxHUB,3197.54,3212.84,E
qjbESyxHUB,3205.83,3207.2,D
qjbESyxHUB,3214.76,3217.05,D
qjbESyxHUB,3218.64,3220.7,E
qjbESyxHUB,3220.97,3223.86,D
qjbESyxHUB,3223.04,3224.94,E
qjbESyxHUB,3225.56,3226.04,D
qjbESyxHUB,3226.81,3234.86,E
qjbESyxHUB,3229.32,3233.1,D
qjbESyxHUB,3234.71,3235.05,D
qjbESyxHUB,3236.53,3247.82,E
qjbESyxHUB,3247.17,3250.9,D
qjbESyxHUB,3249.85,3261.8,E
qjbESyxHUB,3254.02,3255.59,D
qjbESyxHUB,3266.18,3272.36,E
qjbESyxHUB,3272.48,3279.43,D
qjbESyxHUB,3282.48,3285.99,E
qjbESyxHUB,3289.81,3299.34,E
qjbESyxHUB,3300.26,3300.74,D
qjbESyxHUB,3301.5,3307.18,E
qjbESyxHUB,3305.85,3312.8,D
qjbESyxHUB,3310.36,3310.63,E
qjbESyxHUB,3315.86,3316.77,E
qjbESyxHUB,3317.13,3319.17,D
qjbESyxHUB,3318.49,3337.02,E
qjbESyxHUB,3321.34,3322.2,D
qjbESyxHUB,3328.32,3328.94,D
qjbESyxHUB,3334.44,3335.87,B
qjbESyxHUB,3336.22,3336.56,D
qjbESyxHUB,3338.26,3389.9,B
qjbESyxHUB,3361.5,3361.86,E
qjbESyxHUB,3368.03,3368.35,E
qjbESyxHUB,3384.79,3386.28,E
qjbESyxHUB,3388.85,3399.33,E
qjbESyxHUB,3399.1,3402.15,B
qjbESyxHUB,3403.51,3403.84,B
qjbESyxHUB,3403.81,3406.8,E
qjbESyxHUB,3406.6,3424.01,B
qjbESyxHUB,3419.14,3419.71,D
qjbESyxHUB,3419.97,3420.89,E
qjbESyxHUB,3422.64,3424.53,E
qjbESyxHUB,3425.03,3427.56,D
qjbESyxHUB,3428.85,3429.05,B
qjbESyxHUB,3429.17,3430.95,D
qjbESyxHUB,3431.35,3445.81,B
qjbESyxHUB,3442.13,3461.05,D
qjbESyxHUB,3446.81,3446.98,A
qjbESyxHUB,3459.87,3469.04,B
qjbESyxHUB,3464.87,3465.21,D
qjbESyxHUB,3469.4,3493.06,E
qjbESyxHUB,3475.13,3475.54,B
qjbESyxHUB,3493.64,3497.49,C
qjbESyxHUB,3498.58,3517.41,E
qjbESyxHUB,3500.9,3502.12,D
qjbESyxHUB,3502.32,3502.97,C
qjbESyxHUB,3516.67,3522.74,D
qjbESyxHUB,3523.39,3530.97,C
qjbESyxHUB,3528.45,3529.39,D
qjbESyxHUB,3532.42,3547.92,D
qjbESyxHUB,3537.11,3539.09,E
qjbESyxHUB,3537.2,3537.62,C
qjbESyxHUB,3550.46,3552.19,D
qjbESyxHUB,3552.63,3563.29,E
qjbESyxHUB,3563.4,3570.77,C
qjbESyxHUB,3572.06,3572.52,C
qjbESyxHUB,3572.13,3574.46,E
qjbESyxHUB,3575.35,3578.9,C
qjbESyxHUB,3578.97,3579.56,E
qjbESyxHUB,3582.36,3594.76,E
qjbESyxHUB,3585.58,3586.02,C
qjbESyxHUB,3587.79,3588.1,C
qjbESyxHUB,3596.75,3602.77,E
qjbESyxHUB,3599.03,3600.6,D
qjbESyxHUB,3602.39,3608.05,D
qjbESyxHUB,3609.52,3615.81,D
qjbESyxHUB,3617.34,3638.62,D
qjbESyxHUB,3639.52,3658.56,E
qjbESyxHUB,3657.12,3658.59,D
qjbESyxHUB,3662.04,3664.44,D
qjbESyxHUB,3666.17,3700.25,D
qjbESyxHUB,3698.55,3709.33,E
qjbESyxHUB,3709.73,3712.58,D
qjbESyxHUB,3715.4,3716.71,D
qjbESyxHUB,3720.47,3729.51,E
qjbESyxHUB,3729.4,3738.57,D
qjbESyxHUB,3739.12,3747.06,E
qjbESyxHUB,3746.73,3749.29,D
qjbESyxHUB,3749.73,3764.22,E
